mob,avg_cum_default_rate
1,0.00244715745106098
2,0.006618815621755228
3,0.011853000327439606
4,0.018083883868338025
5,0.024625509276070535
6,0.0312807268913469
7,0.03940380995375407
8,0.04625954322601943
9,0.05284613214513375
10,0.06063095137633765
11,0.06729815160222245
12,0.0733254890424809
13,0.07922772823951997
14,0.08575555684725322
15,0.0915927644878088
16,0.09726445100701099
17,0.10209902580748104
18,0.10774392922745442
19,0.11240939667218934
20,0.11736680779674626
21,0.1221520298523165
22,0.12647032048555928
23,0.12996061005573284
24,0.13386641505093516
25,0.13715528477095298
26,0.14093737018419303
27,0.14425441007445514
28,0.14708365726720188
29,0.1502415760454165
30,0.15304618126100047
31,0.15564763351804617
32,0.15747980526155855
33,0.15922933090660824
34,0.16105343316867227
35,0.16233018257200715
36,0.16473612501739493
37,0.16545958198858313
38,0.16605533627631086
39,0.16660019162206322
40,0.16707994210287727
41,0.16748632741572791
42,0.16818043456543685
43,0.16849701621453037
44,0.16883556030492552
45,0.16915278855768023
46,0.16946243221694327
47,0.16974334282842118
48,0.1699717294667429
49,0.17054165204360738
50,0.17076424084344707
51,0.17102184090374994
52,0.17119406234046863
53,0.171350100882222
54,0.17075984439892092
55,0.17090364235029332
56,0.17100809701830616
57,0.17109987020770806
58,0.17248482739744522
59,0.1725457497337699
60,0.17320599362348418
