term,grade,vintage_group,n_loans,n_prepaid,prepay_rate,smm,cpr,median_survival
36,A,2007-2010,4071,1636,0.4019,0.00731,0.0843,
36,A,2011-2013,33369,14075,0.4218,0.007246,0.0836,
36,A,2014-2015,105435,47556,0.451,0.008542,0.0978,
36,A,2016-2018,85776,66650,0.777,0.025491,0.2665,15.0
36,B,2007-2010,4600,1620,0.3522,0.006271,0.0727,
36,B,2011-2013,61811,25571,0.4137,0.007337,0.0846,
36,B,2014-2015,145134,63694,0.4389,0.008618,0.0987,
36,B,2016-2018,133057,96207,0.7231,0.025542,0.2669,16.0
36,C,2007-2010,3536,1118,0.3162,0.005731,0.0666,
36,C,2011-2013,36758,14933,0.4063,0.007517,0.0866,
36,C,2014-2015,121383,50934,0.4196,0.008642,0.0989,
36,C,2016-2018,113965,75949,0.6664,0.025976,0.2708,16.0
36,D,2007-2010,1964,561,0.2856,0.0053,0.0618,
36,D,2011-2013,20814,7935,0.3812,0.007194,0.083,
36,D,2014-2015,53133,21258,0.4001,0.008617,0.0986,
36,D,2016-2018,49736,30264,0.6085,0.025748,0.2688,15.0
36,E,2007-2010,593,170,0.2867,0.006247,0.0724,
36,E,2011-2013,4277,1573,0.3678,0.007421,0.0855,
36,E,2014-2015,16467,6122,0.3718,0.008322,0.0954,
36,E,2016-2018,14480,7916,0.5467,0.023279,0.2462,16.0
36,F,2007-2010,156,44,0.2821,0.009351,0.1066,
36,F,2011-2013,760,274,0.3605,0.009432,0.1075,
36,F,2014-2015,3329,1106,0.3322,0.007448,0.0858,
36,F,2016-2018,2978,1400,0.4701,0.020009,0.2154,19.0
36,G,2007-2010,46,11,0.2391,0.013464,0.1501,
36,G,2011-2013,49,19,0.3878,0.022481,0.2388,
36,G,2014-2015,422,139,0.3294,0.011679,0.1315,
36,G,2016-2018,977,432,0.4422,0.023284,0.2463,16.9
60,A,2007-2010,260,112,0.4308,0.009925,0.1128,
60,A,2011-2013,945,500,0.5291,0.007866,0.0904,44.0
60,A,2014-2015,2314,2005,0.8665,0.029968,0.3059,28.0
60,A,2016-2018,2759,2430,0.8808,0.099243,0.7147,15.0
60,B,2007-2010,860,371,0.4314,0.008688,0.0994,
60,B,2011-2013,7344,3736,0.5087,0.006771,0.0783,43.1
60,B,2014-2015,21659,16630,0.7678,0.021542,0.23,29.0
60,B,2016-2018,17880,14700,0.8221,0.097753,0.709,13.0
60,C,2007-2010,622,245,0.3939,0.008591,0.0984,
60,C,2011-2013,17140,8370,0.4883,0.006833,0.079,43.0
60,C,2014-2015,45638,29905,0.6553,0.017122,0.1872,30.1
60,C,2016-2018,42049,29969,0.7127,0.091789,0.6851,15.0
60,D,2007-2010,558,219,0.3925,0.007902,0.0908,
60,D,2011-2013,9827,4625,0.4706,0.007062,0.0815,42.0
60,D,2014-2015,39535,22390,0.5663,0.015149,0.1674,32.0
60,D,2016-2018,24852,15480,0.6229,0.084117,0.6516,15.0
60,E,2007-2010,523,201,0.3843,0.00837,0.0959,
60,E,2011-2013,9674,4363,0.451,0.006946,0.0802,42.0
60,E,2014-2015,30212,15792,0.5227,0.016703,0.183,30.1
60,E,2016-2018,17059,9520,0.5581,0.071863,0.5914,16.9
60,F,2007-2010,174,67,0.3851,0.010644,0.1205,
60,F,2011-2013,5660,2502,0.442,0.007739,0.089,40.0
60,F,2014-2015,10564,5036,0.4767,0.016762,0.1836,29.0
60,F,2016-2018,8293,3987,0.4808,0.080597,0.6352,17.0
60,G,2007-2010,69,31,0.4493,0.022249,0.2366,45.0
60,G,2011-2013,1276,553,0.4334,0.008721,0.0998,40.0
60,G,2014-2015,2987,1341,0.4489,0.016013,0.1761,29.0
60,G,2016-2018,3228,1501,0.465,0.077886,0.6221,16.0
