quarter,quarter_label,scenario,UNRATE_level,UNRATE_deviation,UNRATE_contribution,CSUSHPINSA_level,CSUSHPINSA_deviation,CSUSHPINSA_contribution,DFF_level,DFF_deviation,DFF_contribution,composite_multiplier
1,2019-Q1,central,3.8,-0.050000000000000044,-0.0957260757570746,208.0,0.024630541871921183,-0.06157635467980296,2.4,0.33333333333333326,0.06793216488282826,-0.0893702655540493
2,2019-Q2,central,3.7,-0.07499999999999996,-0.1435891136356117,211.0,0.03940886699507389,-0.09852216748768473,2.4,0.33333333333333326,0.06793216488282826,-0.17417911624046817
3,2019-Q3,central,3.6,-0.09999999999999998,-0.191452151514149,214.0,0.054187192118226604,-0.1354679802955665,2.19,0.21666666666666662,0.04415590717383837,-0.2827642246358771
4,2019-Q4,central,3.5,-0.125,-0.23931518939268628,217.0,0.06896551724137931,-0.1724137931034483,1.55,-0.1388888888888889,-0.028305068701178448,-0.440034051197313
5,2020-Q1,central,3.5,-0.125,-0.23931518939268628,220.0,0.08374384236453201,-0.20935960591133004,1.58,-0.1222222222222222,-0.02490846045703703,-0.47358325576105337
6,2020-Q2,central,3.5,-0.125,-0.23931518939268628,219.0,0.07881773399014778,-0.19704433497536947,0.65,-0.6388888888888888,-0.13020331602542085,-0.5665628403934766
7,2020-Q3,central,3.5,-0.125,-0.23931518939268628,224.0,0.10344827586206896,-0.25862068965517243,0.09,-0.95,-0.19360666991606057,-0.6915425489639193
8,2020-Q4,central,3.5,-0.125,-0.23931518939268628,230.0,0.1330049261083744,-0.33251231527093594,0.09,-0.95,-0.19360666991606057,-0.7654341745796828
1,2019-Q1,mild,5.5,0.375,0.7179455681780589,193.0,-0.04926108374384237,0.12315270935960591,2.5,0.38888888888888884,0.07925419236329964,0.9203524699009644
2,2019-Q2,mild,5.3,0.32499999999999996,0.6222194924209843,192.0,-0.054187192118226604,0.1354679802955665,2.6,0.4444444444444445,0.09057621984377104,0.8482636925603219
3,2019-Q3,mild,5.2,0.30000000000000004,0.5743564545424472,191.0,-0.059113300492610835,0.14778325123152708,2.5,0.38888888888888884,0.07925419236329964,0.8013938981372739
4,2019-Q4,mild,5.0,0.25,0.47863037878537257,190.0,-0.06403940886699508,0.1600985221674877,2.2,0.2222222222222223,0.045288109921885526,0.6840170108747458
5,2020-Q1,mild,4.8,0.19999999999999996,0.382904303028298,191.0,-0.059113300492610835,0.14778325123152708,2.0,0.11111111111111108,0.02264405496094275,0.5533316092207679
6,2020-Q2,mild,4.7,0.17500000000000004,0.3350412651497609,192.0,-0.054187192118226604,0.1354679802955665,1.8,0.0,0.0,0.4705092454453274
7,2020-Q3,mild,4.6,0.1499999999999999,0.2871782272712234,193.0,-0.04926108374384237,0.12315270935960591,1.5,-0.16666666666666669,-0.03396608244141414,0.3763648541894152
8,2020-Q4,mild,4.5,0.125,0.23931518939268628,194.0,-0.04433497536945813,0.11083743842364532,1.2,-0.33333333333333337,-0.06793216488282829,0.28222046293350334
1,2019-Q1,stress,5.5,0.375,0.7179455681780589,173.0,-0.1477832512315271,0.3694581280788178,3.5,0.9444444444444444,0.19247446716801342,1.2798781634248901
2,2019-Q2,stress,7.0,0.75,1.4358911363561178,170.0,-0.1625615763546798,0.4064039408866995,3.8,1.111111111111111,0.22644054960942753,2.068735626852245
3,2019-Q3,stress,8.5,1.125,2.1538367045341764,168.0,-0.1724137931034483,0.4310344827586207,3.5,0.9444444444444444,0.19247446716801342,2.7773456544608104
4,2019-Q4,stress,9.5,1.375,2.632467083319549,167.0,-0.17733990147783252,0.4433497536945813,3.0,0.6666666666666666,0.13586432976565654,3.211681166779787
5,2020-Q1,stress,10.0,1.5,2.8717822727122355,168.0,-0.1724137931034483,0.4310344827586207,2.5,0.38888888888888884,0.07925419236329964,3.3820709478341557
6,2020-Q2,stress,9.5,1.375,2.632467083319549,170.0,-0.1625615763546798,0.4064039408866995,2.0,0.11111111111111108,0.02264405496094275,3.0615150791671915
7,2020-Q3,stress,9.0,1.25,2.393151893926863,172.0,-0.15270935960591134,0.38177339901477836,1.5,-0.16666666666666669,-0.03396608244141414,2.740959210500227
8,2020-Q4,stress,8.5,1.125,2.1538367045341764,175.0,-0.13793103448275862,0.3448275862068966,0.8,-0.5555555555555556,-0.11322027480471379,2.385444015936359
